wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistId,collectionArtistName,contentAdvisoryRating,collectionArtistViewUrl
track,song,137057909,1674691585,1674691602,Miley Cyrus,Endless Summer Vacation,Flowers (Demo),Endless Summer Vacation,Flowers (Demo),https://music.apple.com/us/artist/miley-cyrus/137057909?uo=4,https://music.apple.com/us/album/flowers-demo/1674691585?i=1674691602&uo=4,https://music.apple.com/us/album/flowers-demo/1674691585?i=1674691602&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/15/5e/9b/155e9b9d-97e9-d3aa-4279-270bdc112d4c/mzaf_13687253298000151500.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/8c/67/ff/8c67ff91-31c3-3fef-1884-ce3ec89f3af4/196589946874.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/8c/67/ff/8c67ff91-31c3-3fef-1884-ce3ec89f3af4/196589946874.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/8c/67/ff/8c67ff91-31c3-3fef-1884-ce3ec89f3af4/196589946874.jpg/100x100bb.jpg,10.99,1.29,2023-03-10T12:00:00Z,cleaned,notExplicit,1,1,12,13,210827,USA,USD,Pop,True,,,,
track,song,91853,169962059,169962272,Mariah Carey,Daydream,Always Be My Baby,Daydream,Always Be My Baby,https://music.apple.com/us/artist/mariah-carey/91853?uo=4,https://music.apple.com/us/album/always-be-my-baby/169962059?i=169962272&uo=4,https://music.apple.com/us/album/always-be-my-baby/169962059?i=169962272&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/72/ef/1f/72ef1f42-626b-9c29-4187-e5bfa23e8bfe/mzaf_18285435883138168150.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/78/4f/2c/784f2c84-b5ba-0e7e-58b1-715143b2f199/mzi.vippwwob.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/78/4f/2c/784f2c84-b5ba-0e7e-58b1-715143b2f199/mzi.vippwwob.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/78/4f/2c/784f2c84-b5ba-0e7e-58b1-715143b2f199/mzi.vippwwob.jpg/100x100bb.jpg,9.99,1.29,1995-09-26T07:00:00Z,notExplicit,notExplicit,1,1,12,5,258133,USA,USD,Pop,True,,,,
track,song,137057909,1460315055,1460315319,Miley Cyrus,Bangerz (Deluxe Version),Wrecking Ball,Bangerz (Deluxe Version),Wrecking Ball,https://music.apple.com/us/artist/miley-cyrus/137057909?uo=4,https://music.apple.com/us/album/wrecking-ball/1460315055?i=1460315319&uo=4,https://music.apple.com/us/album/wrecking-ball/1460315055?i=1460315319&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a4/ae/1c/a4ae1c53-2dd4-be46-0184-d7834ac551c3/mzaf_12036224126117690989.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/e3/e0/84/e3e08400-2d03-75f9-6b8b-a3345452aa98/886444197816.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/e3/e0/84/e3e08400-2d03-75f9-6b8b-a3345452aa98/886444197816.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/e3/e0/84/e3e08400-2d03-75f9-6b8b-a3345452aa98/886444197816.jpg/100x100bb.jpg,13.99,1.29,2013-08-25T07:00:00Z,explicit,notExplicit,1,1,16,6,221367,USA,USD,Pop,True,,,,
track,song,1493050737,1553022038,1553022041,Marca MP,"DEV, Vol. 2 - EP",Ya Acabo,"DEV, Vol. 2 - EP",Ya Acabo,https://music.apple.com/us/artist/marca-mp/1493050737?uo=4,https://music.apple.com/us/album/ya-acabo/1553022038?i=1553022041&uo=4,https://music.apple.com/us/album/ya-acabo/1553022038?i=1553022041&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/3e/d0/28/3ed028e7-fc76-989c-30ee-e6084cb2d129/mzaf_9127332400503352719.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/6c/c0/d0/6cc0d0c4-0ec1-4aa9-ba73-e8914901f9b8/artwork.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/6c/c0/d0/6cc0d0c4-0ec1-4aa9-ba73-e8914901f9b8/artwork.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/6c/c0/d0/6cc0d0c4-0ec1-4aa9-ba73-e8914901f9b8/artwork.jpg/100x100bb.jpg,4.95,0.99,2021-02-19T12:00:00Z,explicit,notExplicit,1,1,5,3,189408,USA,USD,Latin,True,,,,
track,song,1493050737,1540541586,1540541588,Marca MP,Desde el Cantón (En Vivo),Me Estoy Enamorando (En Vivo),Desde el Cantón (En Vivo),Me Estoy Enamorando (En Vivo),https://music.apple.com/us/artist/marca-mp/1493050737?uo=4,https://music.apple.com/us/album/me-estoy-enamorando-en-vivo/1540541586?i=1540541588&uo=4,https://music.apple.com/us/album/me-estoy-enamorando-en-vivo/1540541586?i=1540541588&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a7/ed/ab/a7edab13-2b1b-bf8f-2744-fdaa0382efd6/mzaf_4634073024448489490.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/84/2c/66/842c66ca-c621-7f8a-f793-de28ef6d2250/artwork.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/84/2c/66/842c66ca-c621-7f8a-f793-de28ef6d2250/artwork.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/84/2c/66/842c66ca-c621-7f8a-f793-de28ef6d2250/artwork.jpg/100x100bb.jpg,7.92,0.99,2020-11-26T12:00:00Z,explicit,notExplicit,1,1,8,2,173664,USA,USD,Latin,True,,,,
track,song,1493050737,1512497919,1512497932,Marca MP,"Las Preferidas, Vol. 2 (En Vivo)",Yo Te Necesito (En Vivo),"Las Preferidas, Vol. 2 (En Vivo)",Yo Te Necesito (En Vivo),https://music.apple.com/us/artist/marca-mp/1493050737?uo=4,https://music.apple.com/us/album/yo-te-necesito-en-vivo/1512497919?i=1512497932&uo=4,https://music.apple.com/us/album/yo-te-necesito-en-vivo/1512497919?i=1512497932&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/43/c0/ee/43c0eea0-2abe-fe96-b513-77e38de370e2/mzaf_7151907477223224980.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/72/97/5d/72975d32-0310-104e-acee-9806ca311f6c/artwork.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/72/97/5d/72975d32-0310-104e-acee-9806ca311f6c/artwork.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/72/97/5d/72975d32-0310-104e-acee-9806ca311f6c/artwork.jpg/100x100bb.jpg,9.99,0.99,2020-05-09T12:00:00Z,notExplicit,notExplicit,1,1,11,11,188918,USA,USD,Latin,True,,,,
track,song,1493050737,1519687285,1519687290,Marca MP,Flores - EP,Recuerda,Flores - EP,Recuerda,https://music.apple.com/us/artist/marca-mp/1493050737?uo=4,https://music.apple.com/us/album/recuerda/1519687285?i=1519687290&uo=4,https://music.apple.com/us/album/recuerda/1519687285?i=1519687290&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c3/60/b4/c360b4b0-b2a8-38f4-0a2a-e00c4893a472/mzaf_12542825916152692290.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/07/61/99/07619944-269f-3a2d-c1d9-81f2e9017852/artwork.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/07/61/99/07619944-269f-3a2d-c1d9-81f2e9017852/artwork.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/07/61/99/07619944-269f-3a2d-c1d9-81f2e9017852/artwork.jpg/100x100bb.jpg,4.95,0.99,2020-07-03T12:00:00Z,notExplicit,notExplicit,1,1,5,5,150413,USA,USD,Latin,True,,,,
track,song,1493050737,1519687285,1519687288,Marca MP,Flores - EP,Qué Fue Lo Que Pasó,Flores - EP,Qué Fue Lo Que Pasó,https://music.apple.com/us/artist/marca-mp/1493050737?uo=4,https://music.apple.com/us/album/qu%C3%A9-fue-lo-que-pas%C3%B3/1519687285?i=1519687288&uo=4,https://music.apple.com/us/album/qu%C3%A9-fue-lo-que-pas%C3%B3/1519687285?i=1519687288&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/54/83/03/5483035f-5597-193d-c079-f6914b661df3/mzaf_5597867833977033435.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/07/61/99/07619944-269f-3a2d-c1d9-81f2e9017852/artwork.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/07/61/99/07619944-269f-3a2d-c1d9-81f2e9017852/artwork.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/07/61/99/07619944-269f-3a2d-c1d9-81f2e9017852/artwork.jpg/100x100bb.jpg,4.95,0.99,2020-07-03T12:00:00Z,notExplicit,notExplicit,1,1,5,3,227553,USA,USD,Latin,True,,,,
track,song,1493050737,1519687285,1519687289,Marca MP,Flores - EP,Tú,Flores - EP,Tú,https://music.apple.com/us/artist/marca-mp/1493050737?uo=4,https://music.apple.com/us/album/t%C3%BA/1519687285?i=1519687289&uo=4,https://music.apple.com/us/album/t%C3%BA/1519687285?i=1519687289&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/64/d5/41/64d54148-39e9-2d7d-4f88-fb4991520bdd/mzaf_13787596975357920708.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/07/61/99/07619944-269f-3a2d-c1d9-81f2e9017852/artwork.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/07/61/99/07619944-269f-3a2d-c1d9-81f2e9017852/artwork.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/07/61/99/07619944-269f-3a2d-c1d9-81f2e9017852/artwork.jpg/100x100bb.jpg,4.95,0.99,2020-07-03T12:00:00Z,notExplicit,notExplicit,1,1,5,4,153548,USA,USD,Latin,True,,,,
track,song,1493050737,1501085619,1501085620,Marca MP,Mil Gracias Por Existir (feat. Grupo Firme) - Single,Mil Gracias Por Existir (feat. Grupo Firme),Mil Gracias Por Existir (feat. Grupo Firme) - Single,Mil Gracias Por Existir (feat. Grupo Firme),https://music.apple.com/us/artist/marca-mp/1493050737?uo=4,https://music.apple.com/us/album/mil-gracias-por-existir-feat-grupo-firme/1501085619?i=1501085620&uo=4,https://music.apple.com/us/album/mil-gracias-por-existir-feat-grupo-firme/1501085619?i=1501085620&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a8/43/e2/a843e25b-1377-b79a-aa5f-c10adca6b5b5/mzaf_16548312902621131827.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/4c/74/51/4c7451d5-cfda-c318-8ff1-d9990e765619/artwork.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/4c/74/51/4c7451d5-cfda-c318-8ff1-d9990e765619/artwork.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/4c/74/51/4c7451d5-cfda-c318-8ff1-d9990e765619/artwork.jpg/100x100bb.jpg,0.99,0.99,2020-03-06T12:00:00Z,notExplicit,notExplicit,1,1,1,1,225541,USA,USD,Latin,True,,,,
